9 6
Fo       Kpol   Kvn    KPD   SINЛ  ЛИН,кГ/см2
0.00002    1.135  1.494  0.760  0.2    0.5002 
0.00008    1.110  1.406  0.789  0.2    0.50
0.00009    1.064  1.312  0.811  0.2    0.50
0.00011    0.986  1.207  0.817  0.2    0.50035 
0.00012    0.818  1.083  0.755  0.2    0.50
0.00013    0.651  0.995  0.654  0.2    0.50055 
0.00014    0.518  0.930  0.557  0.2    0.50065
0.00015    0.390  0.877  0.444  0.2    0.50075
0.00016    0.250  0.823  0.304  0.2    0.50
